file,type,line,method,methodStart,methodEnd,source
/__test__/search.test.js,IdenticalTestDescription,"{'startLine':119,'endLine':123}","it('should find match in column', function () {
      var result = list.search('jonny', ['name'])
      expect(result.length).toEqual(1)
      expect(result[0]).toEqual(jonny)
    })",119,123,snuts
/__test__/search.test.js,IdenticalTestDescription,"{'startLine':124,'endLine':127}","it('should not find match in column', function () {
      var result = list.search('jonny', ['born'])
      expect(result.length).toEqual(0)
    })",124,127,snuts
/__test__/search.test.js,NonFunctionalStatement,"{'startLine':61,'endLine':61}","it('should not break with weird searches', function () {
      expect(function () {
        list.search(undefined)
      }).not.toThrow()
      expect(function () {
        list.search(null)
      }).not.toThrow()
      expect(function () {
        list.search(0)
      }).not.toThrow()
      expect(function () {
        list.search(function () {})
      }).not.toThrow()
      expect(function () {
        list.search({ foo: 'bar' })
      }).not.toThrow()
    })",50,66,snuts
/__test__/search.test.js,NonFunctionalStatement,"{'startLine':71,'endLine':71}","it('should not break with weird values', function () {
      jonny.values({ name: undefined })
      martina.values({ name: null })
      angelica.values({ name: 0 })
      sebastian.values({ name: function () {} })
      imma.values({ name: { foo: 'bar' } })

      expect(function () {
        list.search('jonny')
      }).not.toThrow()
      expect(function () {
        list.search(undefined)
      }).not.toThrow()
      expect(function () {
        list.search(null)
      }).not.toThrow()
      expect(function () {
        list.search(0)
      }).not.toThrow()
      expect(function () {
        list.search(function () {})
      }).not.toThrow()
      expect(function () {
        list.search({ foo: 'bar' })
      }).not.toThrow()
    })",67,92,snuts
/__test__/search.test.js,NonFunctionalStatement,"{'startLine':87,'endLine':87}","it('should not break with weird values', function () {
      jonny.values({ name: undefined })
      martina.values({ name: null })
      angelica.values({ name: 0 })
      sebastian.values({ name: function () {} })
      imma.values({ name: { foo: 'bar' } })

      expect(function () {
        list.search('jonny')
      }).not.toThrow()
      expect(function () {
        list.search(undefined)
      }).not.toThrow()
      expect(function () {
        list.search(null)
      }).not.toThrow()
      expect(function () {
        list.search(0)
      }).not.toThrow()
      expect(function () {
        list.search(function () {})
      }).not.toThrow()
      expect(function () {
        list.search({ foo: 'bar' })
      }).not.toThrow()
    })",67,92,snuts
/__test__/parse.test.js,VerboseStatement,"{'startLine':107,'endLine':134}","it('should add item to list with class, data and src', function () {
      list.add({
        name: 'Sven',
        born: 1950,
        id: 4,
        image: 'usage/rey.jpeg',
        link: 'localhost',
        timestamp: '1337',
        foo: 'hej',
      })
      expect(list.items.length).toEqual(3)
      var sven = list.items[2].values()
      expect(sven.name).toEqual('Sven')
      expect(sven.born).toEqual(1950)
      expect(sven.id).toEqual(4)
      expect(sven.image).toEqual('usage/rey.jpeg')
      expect(sven.link).toEqual('localhost')
      expect(sven.timestamp).toEqual('1337')
      expect(sven.foo).toEqual('hej')
      var el = $($('#parse-list').find('.list div')[2])
      expect(el.data('id')).toEqual(4)
      expect(el.find('.name').text()).toEqual('Sven')
      expect(el.find('.born').text()).toEqual('1950')
      expect(el.find('.image').attr('src')).toEqual('usage/rey.jpeg')
      expect(el.find('.link').attr('href')).toEqual('localhost')
      expect(el.find('.timestamp').data('timestamp')).toEqual(1337)
      expect(el.find('.foo').val()).toEqual('hej')
    })",107,134,snuts
/__test__/pagination.test.js,GeneralFixture,"{'startLine':275,'endLine':275}","beforeAll(function () {
      itemHTML = fixturePagination.list(['name'])
      list = new List(
        'list-pagination',
        {
          valueNames: ['name'],
          item: itemHTML,
          page: 2,
          pagination: {
            item: '<button><span class=page></span></button>',
          },
        },
        fixturePagination.all
      )

      pagination = $('.pagination')
    })",274,290,snuts
/__test__/pagination.test.js,IdenticalTestDescription,"{'startLine':54,'endLine':68}","it('should show same pages for show(7,2) and show(8,2)', function () {
      list.show(8, 2)
      expect(pagination.find('a').length).toEqual(7)
      expect(pagination.find('a').get(0).innerHTML).toEqual('...')
      expect(pagination.find('a').get(1).innerHTML).toEqual('2')
      expect(pagination.find('a').get(2).innerHTML).toEqual('3')
      expect(pagination.find('a').get(3).innerHTML).toEqual('4')
      expect(pagination.find('a').get(4).innerHTML).toEqual('5')
      expect(pagination.find('a').get(5).innerHTML).toEqual('6')
      expect(pagination.find('a').get(6).innerHTML).toEqual('...')
      expect(pagination.find('a').get(7)).toEqual(undefined)
      expect($(pagination.find('li').get(2)).hasClass('active')).toEqual(false)
      expect($(pagination.find('li').get(3)).hasClass('active')).toEqual(true)
      expect($(pagination.find('li').get(4)).hasClass('active')).toEqual(false)
    })",54,68,snuts
/__test__/pagination.test.js,IdenticalTestDescription,"{'startLine':133,'endLine':140}","it('should have default settings', function () {
      expect(pagination.find('a').length).toEqual(4)
      expect(pagination.find('a').get(0).innerHTML).toEqual('1')
      expect(pagination.find('a').get(1).innerHTML).toEqual('2')
      expect(pagination.find('a').get(2).innerHTML).toEqual('...')
      expect(pagination.find('a').get(3).innerHTML).toEqual('9')
      expect(pagination.find('a').get(4)).toEqual(undefined)
    })",133,140,snuts
/__test__/pagination.test.js,IdenticalTestDescription,"{'startLine':158,'endLine':171}","it('should test show(14,2)', function () {
      list.show(14, 2)
      expect(pagination.find('a').length).toEqual(6)
      expect(pagination.find('a').get(0).innerHTML).toEqual('1')
      expect(pagination.find('a').get(1).innerHTML).toEqual('...')
      expect(pagination.find('a').get(2).innerHTML).toEqual('6')
      expect(pagination.find('a').get(3).innerHTML).toEqual('7')
      expect(pagination.find('a').get(4).innerHTML).toEqual('8')
      expect(pagination.find('a').get(5).innerHTML).toEqual('9')
      expect(pagination.find('a').get(6)).toEqual(undefined)
      expect($(pagination.find('li').get(2)).hasClass('active')).toEqual(false)
      expect($(pagination.find('li').get(3)).hasClass('active')).toEqual(true)
      expect($(pagination.find('li').get(4)).hasClass('active')).toEqual(false)
    })",158,171,snuts
