file,type,line,method,methodStart,methodEnd,source
/dist/__tests__/Worker-test.js,AnonymousTest,"{'startLine':18,'endLine':32}","it('transforms files', done => {
    const worker = require('../Worker');
    const transformPath =
      createTransformWith('return fileInfo.source + "" changed"";');
    const sourcePath = createTempFileWith('foo');
    const emitter = worker([transformPath]);

    emitter.send({files: [sourcePath]});
    emitter.once('message', (data) => {
      expect(data.status).toBe('ok');
      expect(data.msg).toBe(sourcePath);
      expect(getFileContent(sourcePath)).toBe('foo changed');
      done();
    });
  })",18,32,snuts
/dist/__tests__/Collection-test.js,AnonymousTest,"{'startLine':286,'endLine':294}","it('dedupes elements', function() {
        const path = new NodePath(nodes[0]);
        const root = Collection.fromNodes(nodes);
        const mapped = root.map(() => path);

        expect(root).not.toBe(mapped);
        expect(mapped.length).toBe(1);
        expect(mapped.paths()[0]).toBe(path);
      })",286,294,snuts
/dist/__tests__/Collection-test.js,GeneralFixture,"{'startLine':24,'endLine':24}","beforeEach(function() {
    jest.resetModules();

    Collection = require('../Collection');
    recast = require('recast');

    NodePath = recast.types.NodePath;
    types = recast.types.namedTypes;
    b = recast.types.builders;

    nodes = [b.identifier('foo'), b.identifier('bar')];
  })",20,31,snuts
/dist/__tests__/Collection-test.js,NonFunctionalStatement,"{'startLine':118,'endLine':118}","it('handles type inheritance chains', function() {
      const Collection = require('../Collection');
      const nodeMethod = function() {};
      const identifierMethod = function() {};
      Collection.registerMethods({nodeMethod: nodeMethod}, types.Node);
      Collection.registerMethods(
        {identifierMethod: identifierMethod},
        types.Identifier
      );

      const collection = Collection.fromNodes([b.identifier('foo')]);

      expect(() => collection.identifierMethod()).not.toThrow();
      expect(() => collection.nodeMethod()).not.toThrow();
    })",116,130,snuts
/dist/__tests__/Collection-test.js,NonFunctionalStatement,"{'startLine':119,'endLine':119}","it('handles type inheritance chains', function() {
      const Collection = require('../Collection');
      const nodeMethod = function() {};
      const identifierMethod = function() {};
      Collection.registerMethods({nodeMethod: nodeMethod}, types.Node);
      Collection.registerMethods(
        {identifierMethod: identifierMethod},
        types.Identifier
      );

      const collection = Collection.fromNodes([b.identifier('foo')]);

      expect(() => collection.identifierMethod()).not.toThrow();
      expect(() => collection.nodeMethod()).not.toThrow();
    })",116,130,snuts
/dist/__tests__/Collection-test.js,NonFunctionalStatement,"{'startLine':134,'endLine':134}","it('handles type inheritance with multiple parents', function() {
      Collection.registerMethods(
        {expressionMethod: function() {}},
        types.Expression
      );
      const collection = Collection.fromNodes([
        b.functionExpression(null, [], b.blockStatement([]))
      ]);
      expect(() => collection.expressionMethod()).not.toThrow();
    })",132,141,snuts
/dist/__tests__/Collection-test.js,NonFunctionalStatement,"{'startLine':145,'endLine':145}","it('allows multiple registrations for non-conflicting types', function () {
      Collection.registerMethods(
        {foo: function () {}},
        types.FunctionExpression
      );

      Collection.registerMethods(
        {foo: function () {}},
        types.BinaryExpression
      );

      const collection = Collection.fromNodes([
        b.functionExpression(null, [], b.blockStatement([])),
        b.functionExpression(null, [], b.blockStatement([])),
        b.binaryExpression('+', b.identifier('a'), b.identifier('b'))
      ]);

      function typeFilter(type) {
        return function (path) {
          return type.check(path.value);
        };
      }

      // allowed if collection contents match one of the registered types.
      collection.filter(typeFilter(types.BinaryExpression)).foo();
      collection.filter(typeFilter(types.FunctionExpression)).foo();

      // not allowed if there is mixed types (even though all types match one function or the other).
      expect(function () {
        collection.foo();
      }).toThrow();
    })",143,174,snuts
/dist/__tests__/Collection-test.js,NonFunctionalStatement,"{'startLine':150,'endLine':150}","it('allows multiple registrations for non-conflicting types', function () {
      Collection.registerMethods(
        {foo: function () {}},
        types.FunctionExpression
      );

      Collection.registerMethods(
        {foo: function () {}},
        types.BinaryExpression
      );

      const collection = Collection.fromNodes([
        b.functionExpression(null, [], b.blockStatement([])),
        b.functionExpression(null, [], b.blockStatement([])),
        b.binaryExpression('+', b.identifier('a'), b.identifier('b'))
      ]);

      function typeFilter(type) {
        return function (path) {
          return type.check(path.value);
        };
      }

      // allowed if collection contents match one of the registered types.
      collection.filter(typeFilter(types.BinaryExpression)).foo();
      collection.filter(typeFilter(types.FunctionExpression)).foo();

      // not allowed if there is mixed types (even though all types match one function or the other).
      expect(function () {
        collection.foo();
      }).toThrow();
    })",143,174,snuts
/dist/__tests__/Collection-test.js,NonFunctionalStatement,"{'startLine':179,'endLine':179}","describe('hasConflictingRegistration', function () {
      function register(methodName, type) {
        const methods = {};
        methods[methodName] = function () {};
        if (!types[type]) {
          throw new Error(type + ' is not a valid type');
        }
        Collection.registerMethods(methods, types[type]);
      }

      it('true if supertype is registered', function () {
        register('supertypeIsRegistered', 'Expression');
        expect(Collection.hasConflictingRegistration('supertypeIsRegistered', 'FunctionExpression')).toBe(true);
      });

      it('true if subtype is registered', function () {
        register('subtypeIsRegistered', 'FunctionExpression');
        expect(Collection.hasConflictingRegistration('subtypeIsRegistered', 'Expression')).toBe(true);
      });

      it('false if only a sibling type is registered', function () {
        register('siblingIsRegistered', 'FunctionExpression');
        expect(Collection.hasConflictingRegistration('siblingIsRegistered', 'BinaryExpression')).toBe(false);
      });
    })",176,200,snuts
/dist/__tests__/Collection-test.js,NonFunctionalStatement,"{'startLine':229,'endLine':229}","it('returns the collection itself', function() {
        const fVariables = Collection.fromNodes(nodes);
        const result = fVariables.forEach(function(){});

        expect(result).toBe(fVariables);
      })",227,232,snuts
