file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 93, 'column': 4, 'index': 2820}","  91 |     expect(img).not.toHaveClassName(""error"");
  92 |     expect(img).not.toHaveClassName(""entered"");
> 93 |     expect(img).not.toHaveClassName(""exited"");
     |    ^ Duplicate Assert
  94 |     expect(getStatus(img)).toBeNull();
  95 |   });
  96 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 156, 'column': 4, 'index': 5030}","  154 |     load(img, settings, instance);
  155 |     restore(img, settings);
> 156 |     expect(img).not.toHaveClassName(""applied"");
      |    ^ Duplicate Assert
  157 |     expect(img).not.toHaveClassName(""loading"");
  158 |     expect(img).not.toHaveClassName(""loaded"");
  159 |     expect(img).not.toHaveClassName(""error"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 157, 'column': 4, 'index': 5078}","  155 |     restore(img, settings);
  156 |     expect(img).not.toHaveClassName(""applied"");
> 157 |     expect(img).not.toHaveClassName(""loading"");
      |    ^ Duplicate Assert
  158 |     expect(img).not.toHaveClassName(""loaded"");
  159 |     expect(img).not.toHaveClassName(""error"");
  160 |     expect(img).not.toHaveClassName(""entered"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 158, 'column': 4, 'index': 5126}","  156 |     expect(img).not.toHaveClassName(""applied"");
  157 |     expect(img).not.toHaveClassName(""loading"");
> 158 |     expect(img).not.toHaveClassName(""loaded"");
      |    ^ Duplicate Assert
  159 |     expect(img).not.toHaveClassName(""error"");
  160 |     expect(img).not.toHaveClassName(""entered"");
  161 |     expect(img).not.toHaveClassName(""exited"");"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/vanilla-lazyload/tests/unit/restore.test.js,Duplicate Assert,"{'line': 159, 'column': 4, 'index': 5173}","  157 |     expect(img).not.toHaveClassName(""loading"");
  158 |     expect(img).not.toHaveClassName(""loaded"");
> 159 |     expect(img).not.toHaveClassName(""error"");
      |    ^ Duplicate Assert
  160 |     expect(img).not.toHaveClassName(""entered"");
  161 |     expect(img).not.toHaveClassName(""exited"");
  162 |     expect(getStatus(img)).toBeNull();"
