file,type,line,frame
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 45, 'column': 4, 'index': 1236}","  43 |   expect.assertions(2);
  147 |   });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 145, 'column': 6, 'index': 4642}","  143 |     return promise.then(() => {
  144 |       expect(dispatch).toBeCalledWith(expect.objectContaining(defaultCommitAction));
> 145 |       expect(dispatch).toBeCalledWith(expect.objectContaining(completedMeta));
      |      ^ Duplicate Assert
  146 |     });
  147 |   });
  148 | });"
/home/gabriel/Disk/Research/research-javascript-test-smells/repositories/redux-offline/src/__tests__/send.js,Duplicate Assert,"{'line': 169, 'column': 6, 'index': 5234}","  167 |
  168 |     return promise.then(() => {
> 169 |       expect(dispatch).toBeCalledWith(expect.objectContaining(defaultRollbackAction));
